ArrayExpress_Species	ArrayExpress_StrainOrLine	Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	anonymized_name	collection_date	geographic_location_country_and_or_sea	host_health_state	isolation_source	serovar	specific_host	strain	supplier_name	Consent	LibrarySource
		WGS		194	PRJNA248792	SAMN04363880	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498548	0	Illumina HiSeq 2500	PAIRED	RANDOM	21130	2015-12-22	209	83	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049590	SRS1220198	SRP042645	21130.biosample		None			Human	Salmonella Typhi		21130		public	GENOMIC
		WGS		196	PRJNA248792	SAMN04363950	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498630	0	Illumina HiSeq 2500	PAIRED	RANDOM	82541	2015-12-22	656	313	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049676	SRS1220284	SRP042645	82541.biosample		None			Human	Salmonella Typhi		82541		public	GENOMIC
		WGS		194	PRJNA248792	SAMN04363987	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498674	0	Illumina HiSeq 2500	PAIRED	RANDOM	21873	2015-12-22	224	89	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049719	SRS1220319	SRP042645	21873.biosample		None			Human	Salmonella Typhi		21873		public	GENOMIC
		WGS		190	PRJNA248792	SAMN04364057	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498762	0	Illumina HiSeq 2500	PAIRED	RANDOM	15253	2015-12-22	174	75	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049814	SRS1220410	SRP042645	15253.biosample		None			Human	Salmonella Typhi		15253		public	GENOMIC
		WGS		197	PRJNA248792	SAMN04364109	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498803	0	Illumina HiSeq 2500	PAIRED	RANDOM	97258	2015-12-22	443	195	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049855	SRS1220457	SRP042645	97258.biosample		None			Human	Salmonella Typhi		97258		public	GENOMIC
		WGS		192	PRJNA248792	SAMN04364143	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498841	0	Illumina HiSeq 2500	PAIRED	RANDOM	20939	2015-12-22	301	123	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049896	SRS1220509	SRP042645	20939.biosample		None			Human	Salmonella Typhi		20939		public	GENOMIC
		WGS		192	PRJNA248792	SAMN04364181	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498880	0	Illumina HiSeq 2500	PAIRED	RANDOM	53075	2015-12-22	329	136	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049936	SRS1220546	SRP042645	53075.biosample		None			Human	Salmonella Typhi		53075		public	GENOMIC
		WGS		200	PRJNA248792	SAMN04576219	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1657305	0	Illumina HiSeq 2500	PAIRED	RANDOM	105324	2016-03-23	178	89	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-24	SRR3286567	SRS1357531	SRP042645	105324.biosample		Apr-2015			Human	Salmonella Typhi		105324		public	GENOMIC
		WGS		200	PRJNA248792	SAMN04576473	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1657460	0	Illumina HiSeq 2500	PAIRED	RANDOM	116032	2016-03-23	377	177	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-24	SRR3286713	SRS1357691	SRP042645	116032.biosample		May-2015			Human	Salmonella Typhi		116032		public	GENOMIC
		WGS		200	PRJNA248792	SAMN04576565	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1657574	0	Illumina HiSeq 2500	PAIRED	RANDOM	126207	2016-03-23	280	130	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-24	SRR3286917	SRS1357790	SRP042645	126207.biosample		Jun-2015			Human	Salmonella Typhi		126207		public	GENOMIC
		WGS		200	PRJNA248792	SAMN04576720	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1657615	0	Illumina HiSeq 2500	PAIRED	RANDOM	122241	2016-03-23	615	293	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-24	SRR3286960	SRS1357828	SRP042645	122241.biosample		Jun-2015			Human	Salmonella Typhi		122241		public	GENOMIC
		WGS		200	PRJNA248792	SAMN04600146	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674281	0	Illumina HiSeq 2500	PAIRED	RANDOM	178720	2016-04-01	233	97	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3321530	SRS1371136	SRP042645	178720.biosample		2015-10			Human	Salmonella Typhi		178720		public	GENOMIC
		WGS		200	PRJNA248792	SAMN04600367	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674563	0	Illumina HiSeq 2500	PAIRED	RANDOM	115988	2016-04-01	453	210	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322055	SRS1371400	SRP042645	115988.biosample		May-2015			Human	Salmonella Typhi		115988		public	GENOMIC
		WGS		200	PRJNA248792	SAMN04600379	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674575	0	Illumina HiSeq 2500	PAIRED	RANDOM	191934	2016-04-01	291	131	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322067	SRS1371468	SRP042645	191934.biosample		2015-11			Human	Salmonella Typhi		191934		public	GENOMIC
		WGS		200	PRJNA248792	SAMN04600415	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674607	0	Illumina HiSeq 2500	PAIRED	RANDOM	107778	2016-04-01	468	222	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322095	SRS1371428	SRP042645	107778.biosample		May-2015			Human	Salmonella Typhi		107778		public	GENOMIC
		WGS		200	PRJNA248792	SAMN04600588	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674772	0	Illumina HiSeq 2500	PAIRED	RANDOM	119431	2016-04-01	561	256	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322261	SRS1371586	SRP042645	119431.biosample		Jun-2015			Human	Salmonella Typhi		119431		public	GENOMIC
		WGS		200	PRJNA248792	SAMN04600719	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674922	0	Illumina HiSeq 2500	PAIRED	RANDOM	171342	2016-04-01	393	174	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322415	SRS1371760	SRP042645	171342.biosample		2015-10			Human	Salmonella Typhi		171342		public	GENOMIC
		WGS		200	PRJNA248792	SAMN04600745	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674958	0	Illumina HiSeq 2500	PAIRED	RANDOM	130506	2016-04-01	239	119	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322588	SRS1371776	SRP042645	130506.biosample		Jul-2015			Human	Salmonella Typhi		130506		public	GENOMIC
		WGS		200	PRJNA248792	SAMN04601131	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1675253	0	Illumina HiSeq 2500	PAIRED	RANDOM	188363	2016-04-01	327	143	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3323041	SRS1372032	SRP042645	188363.biosample		2015-11			Human	Salmonella Typhi		188363		public	GENOMIC
		WGS		200	PRJNA248792	SAMN05631203	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2052838	0	Illumina HiSeq 2500	PAIRED	RANDOM	149338	2016-08-25	246	116	Salmonella enterica subsp. enterica	ILLUMINA	2016-08-26	SRR4063806	SRS1644933	SRP042645	149338.biosample		Aug-2015			Human	Salmonella Typhi		149338		public	GENOMIC
		WGS		200	PRJNA248792	SAMN05631202	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2052839	0	Illumina HiSeq 2500	PAIRED	RANDOM	229163	2016-08-25	337	157	Salmonella enterica subsp. enterica	ILLUMINA	2016-08-26	SRR4063807	SRS1644935	SRP042645	229163.biosample		Mar-2016			Human	Salmonella Typhi		229163		public	GENOMIC
		WGS		200	PRJNA248792	SAMN05631201	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2052840	0	Illumina HiSeq 2500	PAIRED	RANDOM	177420	2016-08-25	309	130	Salmonella enterica subsp. enterica	ILLUMINA	2016-08-26	SRR4063808	SRS1644936	SRP042645	177420.biosample		2015-10			Human	Salmonella Typhi		177420		public	GENOMIC
		WGS		200	PRJNA248792	SAMN05631200	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2052841	0	Illumina HiSeq 2500	PAIRED	RANDOM	184395	2016-08-25	205	92	Salmonella enterica subsp. enterica	ILLUMINA	2016-08-26	SRR4063809	SRS1644937	SRP042645	184395.biosample		2015-11			Human	Salmonella Typhi		184395		public	GENOMIC
		WGS		200	PRJNA248792	SAMN05631199	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2052842	0	Illumina HiSeq 2500	PAIRED	RANDOM	149242	2016-08-25	254	111	Salmonella enterica subsp. enterica	ILLUMINA	2016-08-26	SRR4063810	SRS1644938	SRP042645	149242.biosample		Aug-2015			Human	Salmonella Typhi		149242		public	GENOMIC
		WGS		200	PRJNA248792	SAMN05631279	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2052843	0	Illumina HiSeq 2500	PAIRED	RANDOM	253869	2016-08-25	269	124	Salmonella enterica subsp. enterica	ILLUMINA	2016-08-26	SRR4063811	SRS1644939	SRP042645	253869.biosample		May-2016			Human	Salmonella Typhi		253869		public	GENOMIC
		WGS		200	PRJNA248792	SAMN05631278	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2052844	0	Illumina HiSeq 2500	PAIRED	RANDOM	155768	2016-08-25	297	135	Salmonella enterica subsp. enterica	ILLUMINA	2016-08-26	SRR4063812	SRS1644940	SRP042645	155768.biosample		Aug-2015			Human	Salmonella Typhi		155768		public	GENOMIC
		WGS		200	PRJNA248792	SAMN05631277	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2052845	0	Illumina HiSeq 2500	PAIRED	RANDOM	117289	2016-08-25	332	143	Salmonella enterica subsp. enterica	ILLUMINA	2016-08-26	SRR4063813	SRS1644941	SRP042645	117289.biosample		May-2015			Human	Salmonella Typhi		117289		public	GENOMIC
		WGS		200	PRJNA248792	SAMN05631276	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2052846	0	Illumina HiSeq 2500	PAIRED	RANDOM	164902	2016-08-25	437	198	Salmonella enterica subsp. enterica	ILLUMINA	2016-08-26	SRR4063814	SRS1644942	SRP042645	164902.biosample		Sep-2015			Human	Salmonella Typhi		164902		public	GENOMIC
		WGS		197	PRJNA248792	SAMN06247389	PHE	contigsminhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2508994	0	Illumina HiSeq 2500	PAIRED	RANDOM	285842	2017-01-21	271	128	Salmonella enterica subsp. enterica	ILLUMINA	2017-01-22	SRR5193310	SRS1932980	SRP042645	285842.biosample		Aug-2016			Human	Salmonella Typhi		285842		public	GENOMIC
		WGS		200	PRJNA248792	SAMN06247438	PHE	contigsminhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2509051	0	Illumina HiSeq 2500	PAIRED	RANDOM	171294	2017-01-21	410	179	Salmonella enterica subsp. enterica	ILLUMINA	2017-01-22	SRR5193366	SRS1933028	SRP042645	171294.biosample		2015-10			Human	Salmonella Typhi		171294		public	GENOMIC
		WGS		200	PRJNA248792	SAMN06247593	PHE	contigsminhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2509203	0	Illumina HiSeq 2500	PAIRED	RANDOM	188173	2017-01-21	297	125	Salmonella enterica subsp. enterica	ILLUMINA	2017-01-22	SRR5193520	SRS1933179	SRP042645	188173.biosample		2015-11			Human	Salmonella Typhi		188173		public	GENOMIC
		WGS		189	PRJNA248792	SAMN06247896	PHE	contigsminhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2509505	0	Illumina HiSeq 2500	PAIRED	RANDOM	313152	2017-01-21	223	110	Salmonella enterica subsp. enterica	ILLUMINA	2017-01-22	SRR5193825	SRS1933477	SRP042645	313152.biosample		2016-10			Human	Salmonella Typhi		313152		public	GENOMIC
		WGS		200	PRJNA248792	SAMN06247968	PHE	contigsminhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2509583	0	Illumina HiSeq 2500	PAIRED	RANDOM	253873	2017-01-21	354	162	Salmonella enterica subsp. enterica	ILLUMINA	2017-01-22	SRR5193903	SRS1933564	SRP042645	253873.biosample		May-2016			Human	Salmonella Typhi		253873		public	GENOMIC
		WGS		197	PRJNA248792	SAMN06248115	PHE	contigsminhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2509724	0	Illumina HiSeq 2500	PAIRED	RANDOM	319724	2017-01-21	272	120	Salmonella enterica subsp. enterica	ILLUMINA	2017-01-22	SRR5194046	SRS1933698	SRP042645	319724.biosample		2016-11			Human	Salmonella Typhi		319724		public	GENOMIC
		WGS		199	PRJNA248792	SAMN06248197	PHE	contigsminhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2509796	0	Illumina HiSeq 2500	PAIRED	RANDOM	287766	2017-01-21	411	196	Salmonella enterica subsp. enterica	ILLUMINA	2017-01-22	SRR5194121	SRS1933769	SRP042645	287766.biosample		Aug-2016			Human	Salmonella Typhi		287766		public	GENOMIC
		WGS		200	PRJNA248792	SAMN06248358	PHE	contigsminhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2509973	0	Illumina HiSeq 2500	PAIRED	RANDOM	168317	2017-01-21	300	138	Salmonella enterica subsp. enterica	ILLUMINA	2017-01-22	SRR5194302	SRS1933937	SRP042645	168317.biosample		Sep-2015			Human	Salmonella Typhi		168317		public	GENOMIC
		WGS		200	PRJNA248792	SAMN06278122	PHE	contigsminhash_sigrealignref_statssraunknown_contigswgmlst_sig	ncbi			SRX2525688	0	Illumina HiSeq 2500	PAIRED	RANDOM	185430	2017-01-29	175	70	Salmonella enterica subsp. enterica	ILLUMINA	2017-01-30	SRR5215477	SRS1946626	SRP042645	185430.biosample		2015-11			Human	Salmonella Typhi		185430		public	GENOMIC
		WGS		198	PRJNA248792	SAMN06278276	PHE	contigsminhash_sigrealignref_statssraunknown_contigswgmlst_sig	ncbi			SRX2525922	0	Illumina HiSeq 2500	PAIRED	RANDOM	285657	2017-01-29	175	79	Salmonella enterica subsp. enterica	ILLUMINA	2017-01-30	SRR5215711	SRS1946788	SRP042645	285657.biosample		Aug-2016			Human	Salmonella Typhi		285657		public	GENOMIC
		WGS		200	PRJNA248792	SAMN06278863	PHE	contigsminhash_sigrealignref_statssraunknown_contigswgmlst_sig	ncbi			SRX2526679	0	Illumina HiSeq 2500	PAIRED	RANDOM	177421	2017-01-29	315	130	Salmonella enterica subsp. enterica	ILLUMINA	2017-01-31	SRR5216468	SRS1947533	SRP042645	177421.biosample		2015-10			Human	Salmonella Typhi		177421		public	GENOMIC
		WGS		200	PRJNA248792	SAMN06279118	PHE	contigsminhash_sigrealignref_statssraunknown_contigswgmlst_sig	ncbi			SRX2526823	0	Illumina HiSeq 2500	PAIRED	RANDOM	127522	2017-01-29	507	235	Salmonella enterica subsp. enterica	ILLUMINA	2017-01-30	SRR5216612	SRS1947679	SRP042645	127522.biosample		Jun-2015			Human	Salmonella Typhi		127522		public	GENOMIC
		WGS		200	PRJNA248792	SAMN06885504	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2779934	0	Illumina HiSeq 2500	PAIRED	RANDOM	189261	2017-05-03	206	82	Salmonella enterica subsp. enterica	ILLUMINA	2017-05-04	SRR5500421	SRS2163033	SRP042645	189261.biosample		2015-11			human	Salmonella Typhi		189261		public	GENOMIC
		WGS		200	PRJNA248792	SAMN06885503	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2779935	0	Illumina HiSeq 2500	PAIRED	RANDOM	43969	2017-05-03	243	99	Salmonella enterica subsp. enterica	ILLUMINA	2017-05-04	SRR5500422	SRS2163034	SRP042645	43969.biosample		Aug-2014			human	Salmonella Typhi		43969		public	GENOMIC
		WGS		200	PRJNA248792	SAMN06885534	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2779936	0	Illumina HiSeq 2500	PAIRED	RANDOM	152494	2017-05-03	239	107	Salmonella enterica subsp. enterica	ILLUMINA	2017-05-04	SRR5500423	SRS2163037	SRP042645	152494.biosample		Aug-2015			human	Salmonella Typhi		152494		public	GENOMIC
		WGS		200	PRJNA248792	SAMN06885531	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2779937	0	Illumina HiSeq 2500	PAIRED	RANDOM	131539	2017-05-03	263	116	Salmonella enterica subsp. enterica	ILLUMINA	2017-05-04	SRR5500424	SRS2163036	SRP042645	131539.biosample		Jul-2015			human	Salmonella Typhi		131539		public	GENOMIC
