Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collected_by	collection_date	geo_loc_name	host	host_disease	isolate_name_alias	isolation_source	lat_lon	potential_contaminant	sequence_type	serovar	strain	sub_species	Consent	LibrarySource
WGS		183	PRJNA248792	SAMN03152416	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747417	0	Illumina HiSeq 2500	PAIRED	RANDOM	H123940649	2014-10-30	333	136	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635114	SRS733778	SRP042645	H123940649.biosample	PHE	2012-09	United Kingdom: North of England	Homo sapiens	Not available	H123940649	Human	Missing	None detected	11	Salmonella Enteritidis	H123940649	enterica	public	GENOMIC
WGS		194	PRJNA248792	SAMN03152415	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747419	0	Illumina HiSeq 2500	PAIRED	RANDOM	H121220661	2014-10-30	495	250	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635116	SRS733779	SRP042645	H121220661.biosample	PHE	2012-03	United Kingdom: North of England	Homo sapiens	Not available	H121220661	Human	Missing	None detected	11	Salmonella Enteritidis	H121220661	enterica	public	GENOMIC
WGS		194	PRJNA248792	SAMN03152417	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747421	0	Illumina HiSeq 2500	PAIRED	RANDOM	H121760556	2014-10-30	509	243	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635118	SRS733781	SRP042645	H121760556.biosample	PHE	2012-04	United Kingdom: London	Homo sapiens	Not available	H121760556	Human	Missing	None detected	11	Salmonella Enteritidis	H121760556	enterica	public	GENOMIC
WGS		197	PRJNA248792	SAMN03152399	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747399	0	Illumina HiSeq 2500	PAIRED	RANDOM	H124680351	2014-10-30	275	122	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635097	SRS733788	SRP042645	H124680351.biosample	PHE	2012-11	United Kingdom: Midlands and East of England	Homo sapiens	Not available	H124680351	Human	Missing	None detected	11	Salmonella Enteritidis	H124680351	enterica	public	GENOMIC
WGS		193	PRJNA248792	SAMN03152429	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747432	0	Illumina HiSeq 2500	PAIRED	RANDOM	H120960556	2014-10-30	588	298	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635128	SRS733796	SRP042645	H120960556.biosample	PHE	2012-03	United Kingdom: London	Homo sapiens	Not available	H120960556	Human	Missing	None detected	11	Salmonella Enteritidis	H120960556	enterica	public	GENOMIC
WGS		494	PRJNA248792	SAMN04362255	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497017	0	Illumina HiSeq 2500	PAIRED	RANDOM	163178_S15	2015-12-22	413	281	Salmonella enterica	ILLUMINA	2015-12-22	SRR3047223	SRS1218787	SRP042645	163178_S15.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	163178_S15	Human	Missing	None detected	11	Salmonella Enteritidis	163178_S15	enterica	public	GENOMIC
WGS		192	PRJNA248792	SAMN04362889	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497543	0	Illumina HiSeq 2500	PAIRED	RANDOM	43961	2015-12-22	217	87	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048515	SRS1219222	SRP042645	43961.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	43961	Human	Missing	None detected	11	Salmonella Enteritidis	43961	enterica	public	GENOMIC
WGS		189	PRJNA248792	SAMN04362906	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497563	0	Illumina HiSeq 2500	PAIRED	RANDOM	29969	2015-12-22	194	85	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048535	SRS1219231	SRP042645	29969.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	29969	Human	Missing	None detected	11	Salmonella Enteritidis	29969	enterica	public	GENOMIC
WGS		188	PRJNA248792	SAMN04362905	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497562	0	Illumina HiSeq 2500	PAIRED	RANDOM	1515	2015-12-22	293	122	Salmonella enterica	ILLUMINA	2015-12-22	SRR3048534	SRS1219232	SRP042645	1515.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	1515	Human	Missing	None detected	11	Salmonella Enteritidis	1515	enterica	public	GENOMIC
WGS		193	PRJNA248792	SAMN04362921	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497579	0	Illumina HiSeq 2500	PAIRED	RANDOM	18607	2015-12-22	226	95	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048552	SRS1219243	SRP042645	18607.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	18607	Human	Missing	None detected	11	Salmonella Enteritidis	18607	enterica	public	GENOMIC
WGS		187	PRJNA248792	SAMN04362920	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497578	0	Illumina HiSeq 2500	PAIRED	RANDOM	29274	2015-12-22	207	92	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048551	SRS1219244	SRP042645	29274.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	29274	Human	Missing	None detected	11	Salmonella Enteritidis	29274	enterica	public	GENOMIC
WGS		194	PRJNA248792	SAMN04362929	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497587	0	Illumina HiSeq 2500	PAIRED	RANDOM	21831	2015-12-22	175	70	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048560	SRS1219252	SRP042645	21831.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	21831	Human	Missing	None detected	11	Salmonella Enteritidis	21831	enterica	public	GENOMIC
WGS		191	PRJNA248792	SAMN04362933	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497592	0	Illumina HiSeq 2500	PAIRED	RANDOM	43941	2015-12-22	126	51	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048564	SRS1219260	SRP042645	43941.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	43941	Human	Missing	None detected	183	Salmonella Enteritidis	43941	enterica	public	GENOMIC
WGS		192	PRJNA248792	SAMN04362940	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497602	0	Illumina HiSeq 2500	PAIRED	RANDOM	29299	2015-12-22	245	101	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048572	SRS1219262	SRP042645	29299.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	29299	Human	Missing	None detected	11	Salmonella Enteritidis	29299	enterica	public	GENOMIC
WGS		188	PRJNA248792	SAMN04362936	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497597	0	Illumina HiSeq 2500	PAIRED	RANDOM	1861	2015-12-22	295	121	Salmonella enterica	ILLUMINA	2015-12-22	SRR3048568	SRS1219267	SRP042645	1861.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	1861	Human	Missing	None detected	11	Salmonella Enteritidis	1861	enterica	public	GENOMIC
WGS		189	PRJNA248792	SAMN04362948	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497610	0	Illumina HiSeq 2500	PAIRED	RANDOM	18557	2015-12-22	133	59	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048580	SRS1219270	SRP042645	18557.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	18557	Human	Missing	None detected	11	Salmonella Enteritidis	18557	enterica	public	GENOMIC
WGS		194	PRJNA248792	SAMN04362947	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497609	0	Illumina HiSeq 2500	PAIRED	RANDOM	21845	2015-12-22	183	72	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048579	SRS1219272	SRP042645	21845.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	21845	Human	Missing	None detected	11	Salmonella Enteritidis	21845	enterica	public	GENOMIC
WGS		187	PRJNA248792	SAMN04362961	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497644	0	Illumina HiSeq 2500	PAIRED	RANDOM	6501	2015-12-22	222	100	Salmonella enterica	ILLUMINA	2015-12-22	SRR3048684	SRS1219282	SRP042645	6501.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	6501	Human	Missing	None detected	1925	Salmonella Enteritidis	6501	enterica	public	GENOMIC
WGS		190	PRJNA248792	SAMN04362957	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497640	0	Illumina HiSeq 2500	PAIRED	RANDOM	15236	2015-12-22	223	96	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048680	SRS1219288	SRP042645	15236.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	15236	Human	Missing	None detected	11	Salmonella Enteritidis	15236	enterica	public	GENOMIC
WGS		194	PRJNA248792	SAMN04362954	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497636	0	Illumina HiSeq 2500	PAIRED	RANDOM	58600	2015-12-22	294	116	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048656	SRS1219291	SRP042645	58600.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	58600	Human	Missing	None detected	11	Salmonella Enteritidis	58600	enterica	public	GENOMIC
WGS		195	PRJNA248792	SAMN04362950	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497624	0	Illumina HiSeq 2500	PAIRED	RANDOM	82007	2015-12-22	268	131	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048603	SRS1219297	SRP042645	82007.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	82007	Human	Missing	None detected	11	Salmonella Enteritidis	82007	enterica	public	GENOMIC
WGS		190	PRJNA248792	SAMN04362968	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497652	0	Illumina HiSeq 2500	PAIRED	RANDOM	29968	2015-12-22	206	89	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048691	SRS1219301	SRP042645	29968.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	29968	Human	Missing	None detected	11	Salmonella Enteritidis	29968	enterica	public	GENOMIC
WGS		187	PRJNA248792	SAMN04362967	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497651	0	Illumina HiSeq 2500	PAIRED	RANDOM	6481	2015-12-22	190	85	Salmonella enterica	ILLUMINA	2015-12-22	SRR3048690	SRS1219302	SRP042645	6481.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	6481	Human	Missing	None detected	11	Salmonella Enteritidis	6481	enterica	public	GENOMIC
WGS		188	PRJNA248792	SAMN04362894	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497548	0	Illumina HiSeq 2500	PAIRED	RANDOM	95034	2015-12-22	128	68	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048521	SRS1219315	SRP042645	95034.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	95034	Human	Missing	None detected	11	Salmonella Enteritidis	95034	enterica	public	GENOMIC
WGS		194	PRJNA248792	SAMN04362980	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497667	0	Illumina HiSeq 2500	PAIRED	RANDOM	15241	2015-12-22	223	88	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048704	SRS1219325	SRP042645	15241.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	15241	Human	Missing	None detected	183	Salmonella Enteritidis	15241	enterica	public	GENOMIC
WGS		194	PRJNA248792	SAMN04362986	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497675	0	Illumina HiSeq 2500	PAIRED	RANDOM	21090	2015-12-22	473	187	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048712	SRS1219327	SRP042645	21090.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	21090	Human	Missing	None detected	183	Salmonella Enteritidis	21090	enterica	public	GENOMIC
WGS		190	PRJNA248792	SAMN04362901	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497556	0	Illumina HiSeq 2500	PAIRED	RANDOM	15242	2015-12-22	185	80	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048529	SRS1219329	SRP042645	15242.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	15242	Human	Missing	None detected	11	Salmonella Enteritidis	15242	enterica	public	GENOMIC
WGS		168	PRJNA248792	SAMN04362993	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497682	0	Illumina HiSeq 2500	PAIRED	RANDOM	56988	2015-12-22	260	116	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048719	SRS1219332	SRP042645	56988.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	56988	Human	Missing	None detected	11	Salmonella Enteritidis	56988	enterica	public	GENOMIC
WGS		187	PRJNA248792	SAMN04362992	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497681	0	Illumina HiSeq 2500	PAIRED	RANDOM	18572	2015-12-22	264	120	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048718	SRS1219333	SRP042645	18572.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	18572	Human	Missing	None detected	11	Salmonella Enteritidis	18572	enterica	public	GENOMIC
WGS		168	PRJNA248792	SAMN04362990	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497679	0	Illumina HiSeq 2500	PAIRED	RANDOM	56935	2015-12-22	245	110	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048716	SRS1219335	SRP042645	56935.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	56935	Human	Missing	None detected	11	Salmonella Enteritidis	56935	enterica	public	GENOMIC
WGS		189	PRJNA248792	SAMN04362987	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497676	0	Illumina HiSeq 2500	PAIRED	RANDOM	2309	2015-12-22	407	166	Salmonella enterica	ILLUMINA	2015-12-22	SRR3048713	SRS1219338	SRP042645	2309.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	2309	Human	Missing	None detected	11	Salmonella Enteritidis	2309	enterica	public	GENOMIC
WGS		192	PRJNA248792	SAMN04362999	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497688	0	Illumina HiSeq 2500	PAIRED	RANDOM	100723	2015-12-22	196	104	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048725	SRS1219342	SRP042645	100723.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	100723	Human	Missing	None detected	11	Salmonella Enteritidis	100723	enterica	public	GENOMIC
WGS		194	PRJNA248792	SAMN04362998	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497687	0	Illumina HiSeq 2500	PAIRED	RANDOM	21125	2015-12-22	230	91	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048724	SRS1219343	SRP042645	21125.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	21125	Human	Missing	None detected	11	Salmonella Enteritidis	21125	enterica	public	GENOMIC
WGS		190	PRJNA248792	SAMN04362996	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497685	0	Illumina HiSeq 2500	PAIRED	RANDOM	19668	2015-12-22	241	103	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048722	SRS1219345	SRP042645	19668.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	19668	Human	Missing	None detected	11	Salmonella Enteritidis	19668	enterica	public	GENOMIC
WGS		190	PRJNA248792	SAMN04362995	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497684	0	Illumina HiSeq 2500	PAIRED	RANDOM	29973	2015-12-22	246	107	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048721	SRS1219346	SRP042645	29973.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	29973	Human	Missing	None detected	11	Salmonella Enteritidis	29973	enterica	public	GENOMIC
WGS		187	PRJNA248792	SAMN04363020	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497720	0	Illumina HiSeq 2500	PAIRED	RANDOM	29278	2015-12-22	242	107	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048766	SRS1219368	SRP042645	29278.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	29278	Human	Missing	None detected	11	Salmonella Enteritidis	29278	enterica	public	GENOMIC
WGS		197	PRJNA248792	SAMN04363014	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497714	0	Illumina HiSeq 2500	PAIRED	RANDOM	56989	2015-12-22	313	141	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048760	SRS1219374	SRP042645	56989.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	56989	Human	Missing	None detected	11	Salmonella Enteritidis	56989	enterica	public	GENOMIC
WGS		195	PRJNA248792	SAMN04363023	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497723	0	Illumina HiSeq 2500	PAIRED	RANDOM	48146	2015-12-22	201	77	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048770	SRS1219376	SRP042645	48146.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	48146	Human	Missing	None detected	11	Salmonella Enteritidis	48146	enterica	public	GENOMIC
WGS		187	PRJNA248792	SAMN04363039	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497739	0	Illumina HiSeq 2500	PAIRED	RANDOM	91996	2015-12-22	139	74	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048788	SRS1219383	SRP042645	91996.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	91996	Human	Missing	None detected	11	Salmonella Enteritidis	91996	enterica	public	GENOMIC
WGS		189	PRJNA248792	SAMN04363040	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497740	0	Illumina HiSeq 2500	PAIRED	RANDOM	91975	2015-12-22	93	49	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048789	SRS1219384	SRP042645	91975.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	91975	Human	Missing	None detected	11	Salmonella Enteritidis	91975	enterica	public	GENOMIC
WGS		191	PRJNA248792	SAMN04363038	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497738	0	Illumina HiSeq 2500	PAIRED	RANDOM	18548	2015-12-22	180	80	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048787	SRS1219385	SRP042645	18548.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	18548	Human	Missing	None detected	11	Salmonella Enteritidis	18548	enterica	public	GENOMIC
WGS		194	PRJNA248792	SAMN04363036	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497736	0	Illumina HiSeq 2500	PAIRED	RANDOM	21810	2015-12-22	207	82	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048785	SRS1219387	SRP042645	21810.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	21810	Human	Missing	None detected	11	Salmonella Enteritidis	21810	enterica	public	GENOMIC
WGS		192	PRJNA248792	SAMN04363035	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497735	0	Illumina HiSeq 2500	PAIRED	RANDOM	43959	2015-12-22	192	77	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048784	SRS1219388	SRP042645	43959.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	43959	Human	Missing	None detected	11	Salmonella Enteritidis	43959	enterica	public	GENOMIC
WGS		189	PRJNA248792	SAMN04363034	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497734	0	Illumina HiSeq 2500	PAIRED	RANDOM	29939	2015-12-22	185	81	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048783	SRS1219389	SRP042645	29939.biosample	PHE	None	United Kingdom: None	Homo sapiens	Not available	29939	Human	Missing	None detected	11	Salmonella Enteritidis	29939	enterica	public	GENOMIC
