ArrayExpress_Species	Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collected_by	collection_date	geo_loc_name	isolate_name_alias	isolation_source	lat_lon	serovar	strain	sub_species	Consent	LibrarySource
	WGS		200	PRJNA248792	SAMN07568779	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141667	0	Illumina HiSeq 2500	PAIRED	RANDOM	248546	2017-08-28	424	185	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985728	SRS2474425	SRP042645	248546.biosample	PHE	Apr-2016	United Kingdom: United Kingdom	248546	human	Missing	Salmonella Paratyphi B	248546	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568774	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141668	0	Illumina HiSeq 2500	PAIRED	RANDOM	201543	2017-08-28	301	138	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985729	SRS2474426	SRP042645	201543.biosample	PHE	2015-12	United Kingdom: United Kingdom	201543	human	Missing	Salmonella Paratyphi B	201543	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568775	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141669	0	Illumina HiSeq 2500	PAIRED	RANDOM	169616	2017-08-28	265	125	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985730	SRS2474427	SRP042645	169616.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	169616	human	Missing	Salmonella Paratyphi B	169616	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568778	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141671	0	Illumina HiSeq 2500	PAIRED	RANDOM	243873	2017-08-28	287	130	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985732	SRS2474429	SRP042645	243873.biosample	PHE	Apr-2016	United Kingdom: United Kingdom	243873	human	Missing	Salmonella Paratyphi B	243873	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568776	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141673	0	Illumina HiSeq 2500	PAIRED	RANDOM	173749	2017-08-28	374	171	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985734	SRS2474430	SRP042645	173749.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	173749	human	Missing	Salmonella Paratyphi B	173749	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568773	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141674	0	Illumina HiSeq 2500	PAIRED	RANDOM	183620	2017-08-28	433	186	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985735	SRS2474431	SRP042645	183620.biosample	PHE	2015-10	United Kingdom: United Kingdom	183620	human	Missing	Salmonella Paratyphi B	183620	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568789	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141676	0	Illumina HiSeq 2500	PAIRED	RANDOM	182837	2017-08-28	334	141	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985737	SRS2474433	SRP042645	182837.biosample	PHE	2015-11	United Kingdom: United Kingdom	182837	human	Missing	Salmonella Paratyphi B	182837	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568783	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141677	0	Illumina HiSeq 2500	PAIRED	RANDOM	142185	2017-08-28	231	99	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985738	SRS2474434	SRP042645	142185.biosample	PHE	Aug-2015	United Kingdom: United Kingdom	142185	human	Missing	Salmonella Paratyphi B	142185	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568794	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141678	0	Illumina HiSeq 2500	PAIRED	RANDOM	204431	2017-08-28	342	151	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985739	SRS2474435	SRP042645	204431.biosample	PHE	Jan-2016	United Kingdom: United Kingdom	204431	human	Missing	Salmonella Paratyphi B	204431	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568787	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141679	0	Illumina HiSeq 2500	PAIRED	RANDOM	192924	2017-08-28	199	81	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985740	SRS2474436	SRP042645	192924.biosample	PHE	2015-12	United Kingdom: United Kingdom	192924	human	Missing	Salmonella Paratyphi B	192924	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568791	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141680	0	Illumina HiSeq 2500	PAIRED	RANDOM	142184	2017-08-28	237	101	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985741	SRS2474437	SRP042645	142184.biosample	PHE	Aug-2015	United Kingdom: United Kingdom	142184	human	Missing	Salmonella Paratyphi B	142184	enterica	public	GENOMIC
	WGS		199	PRJNA248792	SAMN07568790	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141681	0	Illumina HiSeq 2500	PAIRED	RANDOM	279515	2017-08-28	369	201	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985742	SRS2474438	SRP042645	279515.biosample	PHE	Jul-2016	United Kingdom: United Kingdom	279515	human	Missing	Salmonella Paratyphi B	279515	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568781	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141682	0	Illumina HiSeq 2500	PAIRED	RANDOM	209992	2017-08-28	304	138	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985743	SRS2474439	SRP042645	209992.biosample	PHE	Jan-2016	United Kingdom: United Kingdom	209992	human	Missing	Salmonella Paratyphi B	209992	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568788	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141683	0	Illumina HiSeq 2500	PAIRED	RANDOM	129499	2017-08-28	191	94	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985744	SRS2474440	SRP042645	129499.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	129499	human	Missing	Salmonella Paratyphi B	129499	enterica	public	GENOMIC
	WGS		456	PRJEB23743	SAMEA104413191		NATIONAL INSTITUTE OF PUBLIC HEALTH - NATIONAL INS	minhash_sigrealignref_statssrawgmlst_sig	ncbi	2017-12-04	2017-12-02
2017-12-03	ERX2264845	300	Illumina MiSeq	PAIRED	RANDOM	unspecified	2017-12-05	409	220	Salmonella enterica	ILLUMINA	2017-12-05	ERR2210492	ERS2031133	ERP105515	Salmonella-Paratyphi-B-Java-PZH-257-15	NIPH-NIH	2015-10-20	Poland				Paratyphi_B	Salmonella-Paratyphi-B-Java-PZH-257-15		public	GENOMIC
	WGS		198	PRJEB23743	SAMEA104413275		NATIONAL INSTITUTE OF PUBLIC HEALTH - NATIONAL INS	minhash_sigrealignref_statssrawgmlst_sig	ncbi	2017-12-04	2017-12-02
2017-12-03	ERX2264929	300	Illumina HiSeq 4000	PAIRED	RANDOM	unspecified	2017-12-05	300	130	Salmonella enterica	ILLUMINA	2017-12-05	ERR2210576	ERS2031217	ERP105515	Salmonella_Paratyphi_B_var_Java_257-15	NIPH-NIH	2015-11-05	Poland				Paratyphi_B	Salmonella_Paratyphi_B_var_Java_257-15		public	GENOMIC
	WGS		195	PRJNA248792	SAMN04363240	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497950	0	Illumina HiSeq 2500	PAIRED	RANDOM	37061	2015-12-22	137	52	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049000	SRS1219603	SRP042645	37061.biosample	PHE	None	United Kingdom: None	37061	Human	Missing	Salmonella Paratyphi B	37061	enterica	public	GENOMIC
	WGS		194	PRJNA248792	SAMN04363309	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498024	0	Illumina HiSeq 2500	PAIRED	RANDOM	21131	2015-12-22	253	100	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049074	SRS1219678	SRP042645	21131.biosample	PHE	None	United Kingdom: None	21131	Human	Missing	Salmonella Paratyphi B	21131	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN04600655	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674866	0	Illumina HiSeq 2500	PAIRED	RANDOM	157269	2016-04-01	355	165	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322359	SRS1371694	SRP042645	157269.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	157269	Human	Missing	Salmonella Paratyphi B	157269	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN04601112	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1675237	0	Illumina HiSeq 2500	PAIRED	RANDOM	134032	2016-04-01	368	178	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3323026	SRS1372017	SRP042645	134032.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	134032	Human	Missing	Salmonella Paratyphi B	134032	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568786	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141684	0	Illumina HiSeq 2500	PAIRED	RANDOM	185865	2017-08-28	255	103	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985745	SRS2474441	SRP042645	185865.biosample	PHE	2015-11	United Kingdom: United Kingdom	185865	human	Missing	Salmonella Paratyphi B	185865	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568782	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141685	0	Illumina HiSeq 2500	PAIRED	RANDOM	182074	2017-08-28	312	142	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985746	SRS2474442	SRP042645	182074.biosample	PHE	2015-10	United Kingdom: United Kingdom	182074	human	Missing	Salmonella Paratyphi B	182074	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568792	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141686	0	Illumina HiSeq 2500	PAIRED	RANDOM	164895	2017-08-28	291	134	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985747	SRS2474443	SRP042645	164895.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	164895	human	Missing	Salmonella Paratyphi B	164895	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568784	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141688	0	Illumina HiSeq 2500	PAIRED	RANDOM	187551	2017-08-28	298	128	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985749	SRS2474445	SRP042645	187551.biosample	PHE	2015-11	United Kingdom: United Kingdom	187551	human	Missing	Salmonella Paratyphi B	187551	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568785	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141690	0	Illumina HiSeq 2500	PAIRED	RANDOM	138334	2017-08-28	303	137	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985751	SRS2474446	SRP042645	138334.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	138334	human	Missing	Salmonella Paratyphi B	138334	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568793	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141689	0	Illumina HiSeq 2500	PAIRED	RANDOM	127431	2017-08-28	355	158	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985750	SRS2474447	SRP042645	127431.biosample	PHE	Jun-2015	United Kingdom: United Kingdom	127431	human	Missing	Salmonella Paratyphi B	127431	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568797	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141691	0	Illumina HiSeq 2500	PAIRED	RANDOM	186530	2017-08-28	365	167	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985752	SRS2474448	SRP042645	186530.biosample	PHE	2015-11	United Kingdom: United Kingdom	186530	human	Missing	Salmonella Paratyphi B	186530	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568796	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141692	0	Illumina HiSeq 2500	PAIRED	RANDOM	158924	2017-08-28	392	188	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985753	SRS2474449	SRP042645	158924.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	158924	human	Missing	Salmonella Paratyphi B	158924	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568795	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141693	0	Illumina HiSeq 2500	PAIRED	RANDOM	168316	2017-08-28	399	184	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985754	SRS2474451	SRP042645	168316.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	168316	human	Missing	Salmonella Paratyphi B	168316	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568798	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141694	0	Illumina HiSeq 2500	PAIRED	RANDOM	196362	2017-08-28	324	145	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985755	SRS2474452	SRP042645	196362.biosample	PHE	2015-11	United Kingdom: United Kingdom	196362	human	Missing	Salmonella Paratyphi B	196362	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568780	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141670	0	Illumina HiSeq 2500	PAIRED	RANDOM	185916	2017-08-28	413	185	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985731	SRS2474526	SRP042645	185916.biosample	PHE	2015-11	United Kingdom: United Kingdom	185916	human	Missing	Salmonella Paratyphi B	185916	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07572162	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3144982	0	Illumina HiSeq 2500	PAIRED	RANDOM	166379	2017-08-29	480	210	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989243	SRS2477256	SRP042645	166379.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	166379	human	Missing	Salmonella Paratyphi B	166379	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07572161	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3144989	0	Illumina HiSeq 2500	PAIRED	RANDOM	197022	2017-08-29	541	250	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989250	SRS2477262	SRP042645	197022.biosample	PHE	2015-12	United Kingdom: United Kingdom	197022	human	Missing	Salmonella Paratyphi B	197022	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07572196	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145050	0	Illumina HiSeq 2500	PAIRED	RANDOM	147871	2017-08-29	289	140	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989311	SRS2477323	SRP042645	147871.biosample	PHE	Aug-2015	United Kingdom: United Kingdom	147871	human	Missing	Salmonella Paratyphi B	147871	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07572205	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145053	0	Illumina HiSeq 2500	PAIRED	RANDOM	174758	2017-08-29	449	201	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989314	SRS2477326	SRP042645	174758.biosample	PHE	2015-10	United Kingdom: United Kingdom	174758	human	Missing	Salmonella Paratyphi B	174758	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07572206	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145055	0	Illumina HiSeq 2500	PAIRED	RANDOM	158949	2017-08-29	248	111	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989316	SRS2477328	SRP042645	158949.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	158949	human	Missing	Salmonella Paratyphi B	158949	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07572623	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145711	0	Illumina HiSeq 2500	PAIRED	RANDOM	204430	2017-08-30	321	144	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5989985	SRS2477692	SRP042645	204430.biosample	PHE	Jan-2016	United Kingdom: United Kingdom	204430	human	Missing	Salmonella Paratyphi B	204430	enterica	public	GENOMIC
	WGS		199	PRJNA248792	SAMN07572624	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145712	0	Illumina HiSeq 2500	PAIRED	RANDOM	279553	2017-08-30	389	207	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5989986	SRS2477693	SRP042645	279553.biosample	PHE	Jul-2016	United Kingdom: United Kingdom	279553	human	Missing	Salmonella Paratyphi B	279553	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07572626	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145713	0	Illumina HiSeq 2500	PAIRED	RANDOM	197021	2017-08-30	613	287	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5989987	SRS2477694	SRP042645	197021.biosample	PHE	2015-12	United Kingdom: United Kingdom	197021	human	Missing	Salmonella Paratyphi B	197021	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07572630	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145714	0	Illumina HiSeq 2500	PAIRED	RANDOM	225088	2017-08-30	363	165	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5989988	SRS2477695	SRP042645	225088.biosample	PHE	Feb-2016	United Kingdom: United Kingdom	225088	human	Missing	Salmonella Paratyphi B	225088	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07572629	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145715	0	Illumina HiSeq 2500	PAIRED	RANDOM	203640	2017-08-30	372	169	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5989989	SRS2477696	SRP042645	203640.biosample	PHE	Jan-2016	United Kingdom: United Kingdom	203640	human	Missing	Salmonella Paratyphi B	203640	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07572655	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145717	0	Illumina HiSeq 2500	PAIRED	RANDOM	161054	2017-08-30	513	232	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5989990	SRS2477698	SRP042645	161054.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	161054	human	Missing	Salmonella Paratyphi B	161054	enterica	public	GENOMIC
	WGS		397	PRJEB19916	SAMEA104127617		WARWICK UNIVERSITY	minhash_sigrealignref_statssrawgmlst_sig	ncbi	2017-06-17	2017-06-16	ERX2069290	500	Illumina MiSeq	PAIRED	RANDOM	unspecified	2017-06-23	133	74	Salmonella enterica subsp. enterica serovar Paratyphi C	ILLUMINA	2017-06-19	ERR2009611	ERS1791510	ERP021993	65_3		1965			Stool		Paratyphi C			public	GENOMIC
	WGS		434	PRJEB19916	SAMEA104127618		WARWICK UNIVERSITY	minhash_sigrealignref_statssrawgmlst_sig	ncbi	2017-06-17	2017-06-16	ERX2069291	500	Illumina MiSeq	PAIRED	RANDOM	unspecified	2017-06-23	131	75	Salmonella enterica subsp. enterica serovar Paratyphi C	ILLUMINA	2017-06-19	ERR2009612	ERS1791511	ERP021993	65_7bis		1965			Blood		Paratyphi C			public	GENOMIC
	WGS		439	PRJEB19916	SAMEA104127619		WARWICK UNIVERSITY	minhash_sigrealignref_statssrawgmlst_sig	ncbi	2017-06-17	2017-06-16	ERX2069292	500	Illumina MiSeq	PAIRED	RANDOM	unspecified	2017-06-23	104	60	Salmonella enterica subsp. enterica serovar Paratyphi C	ILLUMINA	2017-06-19	ERR2009613	ERS1791512	ERP021993	66_20		1966			Blood		Paratyphi C			public	GENOMIC
	WGS		370	PRJEB19916	SAMEA104127620		WARWICK UNIVERSITY	minhash_sigrealignref_statssrawgmlst_sig	ncbi	2017-06-17	2017-06-16	ERX2069293	500	Illumina MiSeq	PAIRED	RANDOM	unspecified	2017-06-23	168	87	Salmonella enterica subsp. enterica serovar Paratyphi C	ILLUMINA	2017-06-19	ERR2009614	ERS1791513	ERP021993	67_20		1967			Blood		Paratyphi C			public	GENOMIC
	WGS		400	PRJEB19916	SAMEA104127621		WARWICK UNIVERSITY	minhash_sigrealignref_statssrawgmlst_sig	ncbi	2017-06-17	2017-06-16	ERX2069294	500	Illumina MiSeq	PAIRED	RANDOM	unspecified	2017-06-23	112	59	Salmonella enterica subsp. enterica serovar Paratyphi C	ILLUMINA	2017-06-19	ERR2009615	ERS1791514	ERP021993	72_12		1972			Blood		Paratyphi C			public	GENOMIC
	WGS		404	PRJEB19916	SAMEA104127622		WARWICK UNIVERSITY	minhash_sigrealignref_statssrawgmlst_sig	ncbi	2017-06-17	2017-06-16	ERX2069295	500	Illumina MiSeq	PAIRED	RANDOM	unspecified	2017-06-23	138	73	Salmonella enterica subsp. enterica serovar Paratyphi C	ILLUMINA	2017-06-19	ERR2009616	ERS1791515	ERP021993	73_3		1973			Blood		Paratyphi C			public	GENOMIC
